contract,tier,category,stratum,word_count,gold_answer,model_answer,parse_error,call_error,tokens_in,tokens_out,finish_reason,latency_s,cost_usd,raw_path
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,easy,Governing Law,long,9608,Delaware,Delaware,,,13335,7,stop,1.18,0.00881,results/raw/20260818T172321__qa-v2__deepseek-v4-pro__CerenceInc_20191002_8-K_EX-10.4_11827494__Governing-Law.txt
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,moderate,Termination For Convenience,long,9608,Yes,No,,,13336,6,stop,1.2,0.00881,results/raw/20260818T172322__qa-v2__deepseek-v4-pro__CerenceInc_20191002_8-K_EX-10.4_11827494__Termination-For-Convenience.txt
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,hard,Cap On Liability,long,9608,Yes,No,,,13347,6,stop,1.13,0.00882,results/raw/20260818T172323__qa-v2__deepseek-v4-pro__CerenceInc_20191002_8-K_EX-10.4_11827494__Cap-On-Liability.txt
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.txt,easy,Expiration Date,long,10213,,not specified,,,15205,7,stop,1.07,0.01005,results/raw/20260818T172324__qa-v2__deepseek-v4-pro__PareteumCorp_20081001_8-K_EX-99.1_265480__Expiration-Date.txt
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.txt,moderate,Termination For Convenience,long,10213,Yes,Yes,,,15195,6,stop,1.58,0.01004,results/raw/20260818T172326__qa-v2__deepseek-v4-pro__PareteumCorp_20081001_8-K_EX-99.1_265480__Termination-For-Convenience.txt
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.txt,hard,Ip Ownership Assignment,long,10213,No,No,,,15202,6,stop,1.08,0.01005,results/raw/20260818T172327__qa-v2__deepseek-v4-pro__PareteumCorp_20081001_8-K_EX-99.1_265480__Ip-Ownership-Assignment.txt
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,easy,Governing Law,long,10256,Delaware,Delaware,,,14473,7,stop,1.44,0.00957,results/raw/20260818T172328__qa-v2__deepseek-v4-pro__EtonPharmaceuticalsInc_20191114_10-Q_EX-__Governing-Law.txt
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,moderate,Termination For Convenience,long,10256,Yes,Yes,,,14474,6,stop,1.25,0.00956,results/raw/20260818T172329__qa-v2__deepseek-v4-pro__EtonPharmaceuticalsInc_20191114_10-Q_EX-__Termination-For-Convenience.txt
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,hard,Cap On Liability,long,10256,Yes,No,,,14485,6,stop,1.35,0.00957,results/raw/20260818T172331__qa-v2__deepseek-v4-pro__EtonPharmaceuticalsInc_20191114_10-Q_EX-__Cap-On-Liability.txt
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.txt,easy,Expiration Date,long,10705,3/31/03,03/31/2003,,,14744,11,stop,1.64,0.00975,results/raw/20260818T172332__qa-v2__deepseek-v4-pro__VERTICALNETINC_04_01_2002-EX-10.19-MAINT__Expiration-Date.txt
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.txt,moderate,Termination For Convenience,long,10705,No,No,,,14734,6,stop,1.41,0.00974,results/raw/20260818T172334__qa-v2__deepseek-v4-pro__VERTICALNETINC_04_01_2002-EX-10.19-MAINT__Termination-For-Convenience.txt
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.txt,hard,Ip Ownership Assignment,long,10705,No,No,,,14741,6,stop,1.46,0.00974,results/raw/20260818T172335__qa-v2__deepseek-v4-pro__VERTICALNETINC_04_01_2002-EX-10.19-MAINT__Ip-Ownership-Assignment.txt
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.txt,easy,Governing Law,long,12904,New York,New York,,,18283,7,stop,1.71,0.01208,results/raw/20260818T172337__qa-v2__deepseek-v4-pro__ScansourceInc_20190822_10-K_EX-10.38_117__Governing-Law.txt
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.txt,moderate,Termination For Convenience,long,12904,Yes,Yes,,,18284,6,stop,1.05,0.01208,results/raw/20260818T172338__qa-v2__deepseek-v4-pro__ScansourceInc_20190822_10-K_EX-10.38_117__Termination-For-Convenience.txt
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.txt,hard,Cap On Liability,long,12904,Yes,Yes,,,18295,6,stop,0.99,0.01209,results/raw/20260818T172339__qa-v2__deepseek-v4-pro__ScansourceInc_20190822_10-K_EX-10.38_117__Cap-On-Liability.txt
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.txt,easy,Expiration Date,long,15095,4/18/25,09/30/2026,,,19600,11,stop,1.79,0.01296,results/raw/20260818T172341__qa-v2__deepseek-v4-pro__TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29___Expiration-Date.txt
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.txt,moderate,Termination For Convenience,long,15095,Yes,Yes,,,19590,6,stop,1.3,0.01294,results/raw/20260818T172342__qa-v2__deepseek-v4-pro__TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29___Termination-For-Convenience.txt
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.txt,hard,Ip Ownership Assignment,long,15095,No,not specified,,,19597,7,stop,1.19,0.01295,results/raw/20260818T172343__qa-v2__deepseek-v4-pro__TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29___Ip-Ownership-Assignment.txt
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.txt,easy,Governing Law,long,17207,Illinois,Illinois,,,24379,7,stop,1.53,0.0161,results/raw/20260818T172345__qa-v2__deepseek-v4-pro__ReynoldsConsumerProductsInc_20200121_S-1__Governing-Law.txt
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.txt,moderate,Termination For Convenience,long,17207,Yes,Yes,,,24380,6,stop,1.53,0.0161,results/raw/20260818T172346__qa-v2__deepseek-v4-pro__ReynoldsConsumerProductsInc_20200121_S-1__Termination-For-Convenience.txt
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.txt,hard,Cap On Liability,long,17207,Yes,Yes,,,24391,6,stop,1.35,0.01611,results/raw/20260818T172348__qa-v2__deepseek-v4-pro__ReynoldsConsumerProductsInc_20200121_S-1__Cap-On-Liability.txt
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.txt,easy,Expiration Date,long,18608,1/21/05,01/21/2005,,,26219,11,stop,1.87,0.01733,results/raw/20260818T172350__qa-v2__deepseek-v4-pro__NICELTD_06_26_2003-EX-4.5-OUTSOURCING_AG__Expiration-Date.txt
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.txt,moderate,Termination For Convenience,long,18608,Yes,Yes,,,26209,6,stop,2.07,0.01731,results/raw/20260818T172352__qa-v2__deepseek-v4-pro__NICELTD_06_26_2003-EX-4.5-OUTSOURCING_AG__Termination-For-Convenience.txt
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.txt,hard,Ip Ownership Assignment,long,18608,No,No,,,26216,6,stop,1.65,0.01731,results/raw/20260818T172353__qa-v2__deepseek-v4-pro__NICELTD_06_26_2003-EX-4.5-OUTSOURCING_AG__Ip-Ownership-Assignment.txt
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,easy,Governing Law,long,26789,[* * *],not specified,,,37461,7,stop,2.27,0.02474,results/raw/20260818T172356__qa-v2__deepseek-v4-pro__DovaPharmaceuticalsInc_20181108_10-Q_EX-__Governing-Law.txt
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,moderate,Termination For Convenience,long,26789,Yes,Yes,,,37462,6,stop,1.44,0.02474,results/raw/20260818T172357__qa-v2__deepseek-v4-pro__DovaPharmaceuticalsInc_20181108_10-Q_EX-__Termination-For-Convenience.txt
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,hard,Cap On Liability,long,26789,Yes,No,,,37473,6,stop,1.2,0.02474,results/raw/20260818T172358__qa-v2__deepseek-v4-pro__DovaPharmaceuticalsInc_20181108_10-Q_EX-__Cap-On-Liability.txt
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,easy,Expiration Date,long,35339,7/29/12,07/29/2012,,,50124,11,stop,2.97,0.0331,results/raw/20260818T172401__qa-v2__deepseek-v4-pro__GRANTIERRAENERGYINC_05_07_2012-EX-10.6-T__Expiration-Date.txt
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,moderate,Termination For Convenience,long,35339,No,No,,,50114,6,stop,1.37,0.03309,results/raw/20260818T172403__qa-v2__deepseek-v4-pro__GRANTIERRAENERGYINC_05_07_2012-EX-10.6-T__Termination-For-Convenience.txt
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,hard,Ip Ownership Assignment,long,35339,No,No,,,50121,6,stop,1.19,0.03309,results/raw/20260818T172404__qa-v2__deepseek-v4-pro__GRANTIERRAENERGYINC_05_07_2012-EX-10.6-T__Ip-Ownership-Assignment.txt
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,easy,Governing Law,long,38518,Delaware,Delaware,,,54060,7,stop,3.25,0.03569,results/raw/20260818T172407__qa-v2__deepseek-v4-pro__HarpoonTherapeuticsInc_20200312_10-K_EX-__Governing-Law.txt
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,moderate,Termination For Convenience,long,38518,Yes,Yes,,,54061,6,stop,1.96,0.03569,results/raw/20260818T172409__qa-v2__deepseek-v4-pro__HarpoonTherapeuticsInc_20200312_10-K_EX-__Termination-For-Convenience.txt
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,hard,Cap On Liability,long,38518,Yes,No,,,54072,6,stop,1.6,0.0357,results/raw/20260818T172411__qa-v2__deepseek-v4-pro__HarpoonTherapeuticsInc_20200312_10-K_EX-__Cap-On-Liability.txt
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.txt,easy,Expiration Date,long,45650,,not specified,,,63095,7,stop,2.99,0.04166,results/raw/20260818T172414__qa-v2__deepseek-v4-pro__PhasebioPharmaceuticalsInc_20200330_10-K__Expiration-Date.txt
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.txt,moderate,Termination For Convenience,long,45650,No,Yes,,,63085,6,stop,1.52,0.04165,results/raw/20260818T172415__qa-v2__deepseek-v4-pro__PhasebioPharmaceuticalsInc_20200330_10-K__Termination-For-Convenience.txt
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.txt,hard,Ip Ownership Assignment,long,45650,Yes,Yes,,,63092,6,stop,1.43,0.04165,results/raw/20260818T172417__qa-v2__deepseek-v4-pro__PhasebioPharmaceuticalsInc_20200330_10-K__Ip-Ownership-Assignment.txt
